,货物名称,三级分类,二级分类,一级分类
3874,硬脂酸,线材,钢铁制品,钢铁
3875,电力设备,电子、光、磁、超声波装置的元器件、零件、附件,电子、电讯设备及器材,机械设备、电器
3876,空调机,家用电器,电力设备、电器机械及器材,机械设备、电器
3877,红酒箱,线材,钢铁制品,钢铁
3878,大豆,经济作物原料、残渣及副产品,经济作物及制品,农、林、牧、渔业产品
3879,球团,铁矿,铁矿石,金属矿石
3880,精印双胶纸,纸板（原纸）,纸及制品(十类),轻工、医药产品
3881,碎石料,雕塑、刻、漆工艺品,工艺美术品,轻工、医药产品
3882,陶瓷,陶瓷制品,日用工业品,轻工、医药产品
3883,白方,线材,钢铁制品,钢铁
3884,老板吸油烟机,家用电器,电力设备、电器机械及器材,机械设备、电器
3885,热镀管发松江,线材,钢铁制品,钢铁
3886,轻质铜纸板,线材,钢铁制品,钢铁
3887,器材,体育运动用品及零件、附件,文化体育用品,轻工、医药产品
3888,乐器,演艺器材及用品,文化体育用品,轻工、医药产品
3889,调料,其它未列名饮食及调味食品,饮食品,轻工、医药产品
3890,花生油,动植物食用油料、脂肪及制品,经济作物及制品,农、林、牧、渔业产品
3891,全木浆胶纸板,线材,钢铁制品,钢铁
3892,焊管热镀,管材及附件,钢 材、合金钢材,钢铁
3893,三防热敏原纸,线材,钢铁制品,钢铁
3894,医疗设备,医疗器械（具）、设备,专用机械、设备及制品,机械设备、电器
3895,面包,糕点、面食、谷物食品,饮食品,轻工、医药产品
3896,电容器设备,电子、光、磁、超声波装置的元器件、零件、附件,电子、电讯设备及器材,机械设备、电器
3897,电压互感器设备,电子、光、磁、超声波装置的元器件、零件、附件,电子、电讯设备及器材,机械设备、电器
3898,口罩,其它未列名针织、纺织、皮革及制品,针织、纺织、皮毛及制品,轻工、医药产品
3899,精品绵竹头曲,线材,钢铁制品,钢铁
3900,吸油烟机,家用电器,电力设备、电器机械及器材,机械设备、电器
3901,鸡精宣传品,线材,钢铁制品,钢铁
3902,压缩机附件,制冷、加热、燃烧设备,专用机械、设备及制品,机械设备、电器
3903,红标绵竹大曲,线材,钢铁制品,钢铁
3904,乳液,美容化妆品,日用化工品,化工原料及制品
3905,绝缘纸,其它纸及制品,纸及制品(十类),轻工、医药产品
3906,空调外机,家用电器,电力设备、电器机械及器材,机械设备、电器
3907,花卉营养液,花草,竹、木、藤、花、草,有色金属
3908,贵宾郎酒,酒（白酒、啤酒、果酒类）,饮食品,轻工、医药产品
3909,郎牌特曲,酒（白酒、啤酒、果酒类）,饮食品,轻工、医药产品
3910,郎牌原浆,酒（白酒、啤酒、果酒类）,饮食品,轻工、医药产品
3911,酒矿泉水,线材,钢铁制品,钢铁
3912,百威度纸箱听装,线材,钢铁制品,钢铁
3913,热镀加焊管发治,线材,钢铁制品,钢铁
3914,高白胶板印刷纸,线材,钢铁制品,钢铁
3915,全轻型胶版纸,线材,钢铁制品,钢铁
3916,千百知饮料,饮料、果菜汁,饮食品,轻工、医药产品
3917,灯,线材,钢铁制品,钢铁
3918,灯饰,灯具、照明装置、发光标志、牌照,日用工业品,轻工、医药产品
3919,墙纸,其它纸及制品,纸及制品(十类),轻工、医药产品
3920,布匹,布匹（机织、绒织、网织物、纱罗）,针织、纺织、皮毛及制品,轻工、医药产品
3921,面煤,线材,钢铁制品,钢铁
3922,原煤,线材,钢铁制品,钢铁
3923,钢支撑,线材,钢铁制品,钢铁
3924,黑矿,线材,钢铁制品,钢铁
3925,焦粉,线材,钢铁制品,钢铁
3926,托克粉,线材,钢铁制品,钢铁
3927,粉煤灰,线材,钢铁制品,钢铁
3928,煤泥,线材,钢铁制品,钢铁
3929,沥青,线材,钢铁制品,钢铁
3930,澳粉,线材,钢铁制品,钢铁
3931,1号原煤,线材,钢铁制品,钢铁
3932,董家口万里通德龙巴粗粉,线材,钢铁制品,钢铁
3933,董家口流畅永洋PB粉,线材,钢铁制品,钢铁
3934,德龙托克粉,线材,钢铁制品,钢铁
3935,德晟PB块矿2018094,线材,钢铁制品,钢铁
3936,曹妃甸澳森宝钢精神BRBF粉,线材,钢铁制品,钢铁
3937,混末,线材,钢铁制品,钢铁
3938,焦粒,线材,钢铁制品,钢铁
3939,锰硅合金,铁合金,生铁、铁合金、非合金钢,钢铁
3940,蒙煤,线材,钢铁制品,钢铁
3941,碱石,线材,钢铁制品,钢铁
3942,混煤,线材,钢铁制品,钢铁
3943,蒙古煤,线材,钢铁制品,钢铁
3944,铜杆,线材,钢铁制品,钢铁
3945,氧化铁,线材,钢铁制品,钢铁
3946,纸箱纸板,线材,钢铁制品,钢铁
3947,聚乙烯,线材,钢铁制品,钢铁
3948,电解铜,线材,钢铁制品,钢铁
3949,顺丰快递,线材,钢铁制品,钢铁
3950,混沫,线材,钢铁制品,钢铁
3951,耐火料,线材,钢铁制品,钢铁
3952,矿石,线材,钢铁制品,钢铁
3953,方钢,线材,钢铁制品,钢铁
3954,籽煤,线材,钢铁制品,钢铁
3955,库瑞亚澳块,线材,钢铁制品,钢铁
3956,黄骅德龙奥块,线材,钢铁制品,钢铁
3957,切片,线材,钢铁制品,钢铁
3958,昌顺精煤澳森,线材,钢铁制品,钢铁
3959,矩形孔,线材,钢铁制品,钢铁
3960,天津超特粉,线材,钢铁制品,钢铁
3961,前湾港万里通PB粉,线材,钢铁制品,钢铁
3962,德盛海01-马来矿,铁矿,铁矿石,金属矿石
3963,铝杆,线材,钢铁制品,钢铁
3964,钢线,线材,钢铁制品,钢铁
3965,南粉41.37,线材,钢铁制品,钢铁
3966,腾邑精煤澳森,线材,钢铁制品,钢铁
3967,废矾土,线材,钢铁制品,钢铁
3968,格力配件,线材,钢铁制品,钢铁
3969,线材圆盘条,线材,钢铁制品,钢铁
3970,镍矿,线材,钢铁制品,钢铁
3971,澳森黄骅港中华和谐卡粉,线材,钢铁制品,钢铁
3972,南飞原矿41.45,线材,钢铁制品,钢铁
3973,南粉40.6,线材,钢铁制品,钢铁
3974,泰拉煤,线材,钢铁制品,钢铁
3975,土粉46.75,线材,钢铁制品,钢铁
3976,南粉44.66,线材,钢铁制品,钢铁
3977,黄骅德龙金布巴粉,线材,钢铁制品,钢铁
3978,克罗斯76澳块,线材,钢铁制品,钢铁
3979,海阳002  马来矿,铁矿,铁矿石,金属矿石
3980,明泰煤,线材,钢铁制品,钢铁
3981,伊朗块38.98,线材,钢铁制品,钢铁
3982,生石灰,线材,钢铁制品,钢铁
3983,钢轨,线材,钢铁制品,钢铁
3984,德晟巴西粗粉2018085,线材,钢铁制品,钢铁
3985,格雷斯,线材,钢铁制品,钢铁
3986,华鑫焦粉澳森,线材,钢铁制品,钢铁
3987,铝矿石,线材,钢铁制品,钢铁
3988,原煤欧斯克A煤,线材,钢铁制品,钢铁
3989,混麸,线材,钢铁制品,钢铁
3990,聚乙烯704235B,线材,钢铁制品,钢铁
3991,南粉41.89,线材,钢铁制品,钢铁
3992,PB粉,线材,钢铁制品,钢铁
3993,伊朗块42.29,线材,钢铁制品,钢铁
3994,顺意镍矿,线材,钢铁制品,钢铁
3995,扁锭,线材,钢铁制品,钢铁
3996,金昌焦炭奥森,线材,钢铁制品,钢铁
3997,均化料,线材,钢铁制品,钢铁
3998,南粉40.48,线材,钢铁制品,钢铁
3999,白鹭至定边采油厂面煤,线材,钢铁制品,钢铁
4000,卷,线材,钢铁制品,钢铁
4001,日照港龙安德龙巴西粗粉,线材,钢铁制品,钢铁
4002,三阳焦粉,线材,钢铁制品,钢铁
4003,电工圆铝杆,线材,钢铁制品,钢铁
4004,富皇水泥煤炭,线材,钢铁制品,钢铁
4005,富锰渣,线材,钢铁制品,钢铁
4006,格雷斯混合粉,线材,钢铁制品,钢铁
4007,津巴布韦粉49.67,铁矿,铁矿石,金属矿石
4008,猎鹰信心,线材,钢铁制品,钢铁
4009,南粉40.29％,线材,钢铁制品,钢铁
4010,前湾港流畅永洋PB粉,线材,钢铁制品,钢铁
4011,蛋白粉,线材,钢铁制品,钢铁
4012,马粉46.86,线材,钢铁制品,钢铁
4013,代县聚星烧结粉,线材,钢铁制品,钢铁
4014,铁矿石茶花梦,铁矿,铁矿石,金属矿石
4015,董家口万里通德龙混合粉,线材,钢铁制品,钢铁
4016,钢材钢卷,线材,钢铁制品,钢铁
4017,圆钢汽运,线材,钢铁制品,钢铁
4018,巴块30.76,线材,钢铁制品,钢铁
4019,焦渣,线材,钢铁制品,钢铁
4020,三阳焦粉澳森,线材,钢铁制品,钢铁
4021,日照龙安德龙PB块,线材,钢铁制品,钢铁
4022,土粉46.68,线材,钢铁制品,钢铁
4023,大佛寺小块,线材,钢铁制品,钢铁
4024,合金锭,线材,钢铁制品,钢铁
4025,零担,线材,钢铁制品,钢铁
4026,董家口流畅德龙混合粉,线材,钢铁制品,钢铁
4027,土粉43.36,线材,钢铁制品,钢铁
4028,巴块27.38,线材,钢铁制品,钢铁
4029,南粉40.31,线材,钢铁制品,钢铁
4030,商都南粉40.29,线材,钢铁制品,钢铁
4031,土粉46.97,线材,钢铁制品,钢铁
4032,土粉47.54,线材,钢铁制品,钢铁
4033,巴块30.47％,线材,钢铁制品,钢铁
4034,巴块30.89％,线材,钢铁制品,钢铁
4035,3266/南非高铁,线材,钢铁制品,钢铁
4036,土粉46.95,线材,钢铁制品,钢铁
4037,阿巴块32.84,铁矿,铁矿石,金属矿石
4038,FMG筛后块,线材,钢铁制品,钢铁
4039,巴块30.47,线材,钢铁制品,钢铁
4040,华顺铜精粉,线材,钢铁制品,钢铁
4041,铁矿砂库克轮,线材,钢铁制品,钢铁
4042,澳森黄骅艾瑞妮罗伊山块,线材,钢铁制品,钢铁
4043,海阳马来矿,线材,钢铁制品,钢铁
4044,土粉48.53,线材,钢铁制品,钢铁
4045,3266/92箱/南非高铁,线材,钢铁制品,钢铁
4046,糊树脂,线材,钢铁制品,钢铁
4047,净水剂,线材,钢铁制品,钢铁
4048,巴块32.94,铁矿,铁矿石,金属矿石
4049,南粉44.21,线材,钢铁制品,钢铁
4050,配货,线材,钢铁制品,钢铁
4051,商都马粉46.86,线材,钢铁制品,钢铁
4052,国新联程煤炭,线材,钢铁制品,钢铁
4053,41.89％南粉,线材,钢铁制品,钢铁
4054,南粉45.06,线材,钢铁制品,钢铁
4055,天宝铁粉,线材,钢铁制品,钢铁
4056,铁矿砂库克2,线材,钢铁制品,钢铁
4057,伊朗块29.16,线材,钢铁制品,钢铁
4058,玉米,线材,钢铁制品,钢铁
4059,百货SCY,线材,钢铁制品,钢铁
4060,吨包袋,线材,钢铁制品,钢铁
4061,粉煤,线材,钢铁制品,钢铁
4062,津巴布韦粉49.9,线材,钢铁制品,钢铁
4063,京城铁粉,线材,钢铁制品,钢铁
4064,南粉41.9,线材,钢铁制品,钢铁
4065,水洗沬煤,线材,钢铁制品,钢铁
4066,土粉45.6,线材,钢铁制品,钢铁
4067,乌沫,线材,钢铁制品,钢铁
4068,玉米淀粉,线材,钢铁制品,钢铁
4069,众煜达,线材,钢铁制品,钢铁
4070,道恩,线材,钢铁制品,钢铁
4071,吉利刚塑,线材,钢铁制品,钢铁
4072,金鸡滩煤,线材,钢铁制品,钢铁
4073,块煤,线材,钢铁制品,钢铁
4074,南非高铁,线材,钢铁制品,钢铁
4075,140克精品牛皮纸,线材,钢铁制品,钢铁
4076,巴块30.6,线材,钢铁制品,钢铁
4077,电力杆,线材,钢铁制品,钢铁
4078,海荣1   高铁,线材,钢铁制品,钢铁
4079,南粉40.2,线材,钢铁制品,钢铁
4080,土粉42.46,线材,钢铁制品,钢铁
4081,魏墙至靖边采油厂沫煤,线材,钢铁制品,钢铁
4082,伊朗39.16,线材,钢铁制品,钢铁
4083,原,线材,钢铁制品,钢铁
4084,得信邦盐井煤炭,线材,钢铁制品,钢铁
4085,德晟巴西粗粉,线材,钢铁制品,钢铁
4086,鸿业华蓥煤炭,线材,钢铁制品,钢铁
4087,货物,线材,钢铁制品,钢铁
4088,南粉39.91,线材,钢铁制品,钢铁
4089,塔斯曼,线材,钢铁制品,钢铁
4090,外货,线材,钢铁制品,钢铁
4091,鑫洋精煤澳森,线材,钢铁制品,钢铁
4092,澳森曹妃甸宝钢精神BRBF粉,线材,钢铁制品,钢铁
4093,伊朗块36.3,线材,钢铁制品,钢铁
4094,阿曼粉矿,线材,钢铁制品,钢铁
4095,合川得信邦煤炭,线材,钢铁制品,钢铁
4096,兰炭面,线材,钢铁制品,钢铁
4097,南粉40.49,线材,钢铁制品,钢铁
4098,阳极,线材,钢铁制品,钢铁
4099,弗吉尼亚1-南非块,线材,钢铁制品,钢铁
4100,久安精煤澳森,线材,钢铁制品,钢铁
4101,颗粒,线材,钢铁制品,钢铁
4102,南粉44.49,线材,钢铁制品,钢铁
4103,南粉45.02,线材,钢铁制品,钢铁
4104,油渣,线材,钢铁制品,钢铁
4105,进钰祥,线材,钢铁制品,钢铁
4106,三汇得信邦小块,线材,钢铁制品,钢铁
4107,土粉46.9,线材,钢铁制品,钢铁
4108,超源精煤澳森,线材,钢铁制品,钢铁
4109,峰沫,线材,钢铁制品,钢铁
4110,库佳/南非高铁,线材,钢铁制品,钢铁
4111,如隆带钢,线材,钢铁制品,钢铁
4112,安泰焦炭澳森,线材,钢铁制品,钢铁
4113,棒材汽运一车按30吨计算,线材,钢铁制品,钢铁
4114,天池宏丰煤炭,线材,钢铁制品,钢铁
4115,铁矿,铁矿,铁矿石,金属矿石
4116,阿巴块32.84％,铁矿,铁矿石,金属矿石
4117,澳森黄骅银河BRBF粉,线材,钢铁制品,钢铁
4118,包芯线,线材,钢铁制品,钢铁
4119,国新联程小块,线材,钢铁制品,钢铁
4120,横梁,线材,钢铁制品,钢铁
4121,汇刚湿煤泥,线材,钢铁制品,钢铁
4122,森鼎精煤澳森,线材,钢铁制品,钢铁
4123,铜管,线材,钢铁制品,钢铁
4124,原原,线材,钢铁制品,钢铁
4125,阿曼籽矿,铁矿,铁矿石,金属矿石
4126,巴块29.97,线材,钢铁制品,钢铁
4127,百货,线材,钢铁制品,钢铁
4128,钣金,线材,钢铁制品,钢铁
4129,海阳/马来矿,铁矿,铁矿石,金属矿石
4130,库佳3   南非高铁,线材,钢铁制品,钢铁
4131,煤（神木龙华―岢岚站台）,线材,钢铁制品,钢铁
4132,七山煤,线材,钢铁制品,钢铁
4133,三盛焦炭澳森,线材,钢铁制品,钢铁
4134,顺丰速运,线材,钢铁制品,钢铁
4135,碳粉,线材,钢铁制品,钢铁
4136,土粉31.14,线材,钢铁制品,钢铁
4137,冷柜,钢铁容器,钢铁制品,钢铁
4138,螺纹国润,线材,钢铁制品,钢铁
4139,模具,线材,钢铁制品,钢铁
4140,南非籽,线材,钢铁制品,钢铁
4141,农贸辅料,线材,钢铁制品,钢铁
4142,医药设备,线材,钢铁制品,钢铁
4143,不锈卷,线材,钢铁制品,钢铁
4144,镀锌槽钢,线材,钢铁制品,钢铁
4145,鸿业华蓥溪口煤炭,线材,钢铁制品,钢铁
4146,焦煤混煤,线材,钢铁制品,钢铁
4147,京城到宏兴铁粉,线材,钢铁制品,钢铁
4148,铝卷SSH,线材,钢铁制品,钢铁
4149,铝型材,线材,钢铁制品,钢铁
4150,模板LYX,线材,钢铁制品,钢铁
4151,模版LYX,线材,钢铁制品,钢铁
4152,热轧圆钢20CrMoHK汽运,线材,钢铁制品,钢铁
4153,橡胶（箱）,合成橡胶,橡胶,化工原料及制品
4154,一三籽煤,线材,钢铁制品,钢铁
4155,圆管,管材及附件,钢 材、合金钢材,钢铁
4156,25kg小苏打轻碱,线材,钢铁制品,钢铁
4157,58克轻质轻量涂布纸,线材,钢铁制品,钢铁
4158,77克精品牛皮纸,线材,钢铁制品,钢铁
4159,HRRHWR占百分之20综合报价,线材,钢铁制品,钢铁
4160,富皇水泥末煤,线材,钢铁制品,钢铁
4161,刚支撑,线材,钢铁制品,钢铁
4162,钢材钢材()钢材，刘,线材,钢铁制品,钢铁
4163,钢支撑、钢围檩,线材,钢铁制品,钢铁
4164,火车篷布,线材,钢铁制品,钢铁
4165,精品牛皮纸,纸制品,纸及制品(十类),轻工、医药产品
4166,聚乙烯222,线材,钢铁制品,钢铁
4167,磷铁,线材,钢铁制品,钢铁
4168,绿叶浆江河,线材,钢铁制品,钢铁
4169,耐材豫J41489,线材,钢铁制品,钢铁
4170,牛皮,动物生皮、毛、骨（粉）,畜、禽、兽及制品,农、林、牧、渔业产品
4171,啤酒1,线材,钢铁制品,钢铁
4172,栖霞煤炭,线材,钢铁制品,钢铁
4173,三才～昶通块煤～001,nan,nan,待定
4174,神马化肥,线材,钢铁制品,钢铁
4175,石板,线材,钢铁制品,钢铁
4176,碳灰,线材,钢铁制品,钢铁
4177,碳酸锂,线材,钢铁制品,钢铁
4178,铁矿砂20180316欧梅,线材,钢铁制品,钢铁
4179,王米淀粉,线材,钢铁制品,钢铁
4180,洗中块,线材,钢铁制品,钢铁
4181,锌钢管材,线材,钢铁制品,钢铁
4182,旋灰块不过筛,线材,钢铁制品,钢铁
4183,孕育剂,线材,钢铁制品,钢铁
4184,苏氨酸,线材,钢铁制品,钢铁
4185,球化剂,线材,钢铁制品,钢铁
4186,70克精品牛皮纸,线材,钢铁制品,钢铁
4187,80克精品牛皮纸,线材,钢铁制品,钢铁
4188,85M10T,线材,钢铁制品,钢铁
4189,LC-3AB后门内板,线材,钢铁制品,钢铁
4190,电缆桥架,电工器材,电力设备、电器机械及器材,机械设备、电器
4191,弗吉尼亚2-南非块,线材,钢铁制品,钢铁
4192,钢材镀锌卷,线材,钢铁制品,钢铁
4193,光缆接头盒,线材,钢铁制品,钢铁
4194,加气块,线材,钢铁制品,钢铁
4195,嘉吉PB粉56949,线材,钢铁制品,钢铁
4196,金鱼浆,线材,钢铁制品,钢铁
4197,聚甲醛,线材,钢铁制品,钢铁
4198,聚乙烯1,线材,钢铁制品,钢铁
4199,聚乙烯64M40T,线材,钢铁制品,钢铁
4200,兰炭运费,线材,钢铁制品,钢铁
4201,煤矿,线材,钢铁制品,钢铁
4202,米糠粕,线材,钢铁制品,钢铁
4203,米石,线材,钢铁制品,钢铁
4204,耐材,线材,钢铁制品,钢铁
4205,南非南铁,线材,钢铁制品,钢铁
4206,南粉42.11,线材,钢铁制品,钢铁
4207,瓶胚,线材,钢铁制品,钢铁
4208,迁安黑方钢管,线材,钢铁制品,钢铁
4209,迁安热热镀钢管,线材,钢铁制品,钢铁
4210,石灰块,线材,钢铁制品,钢铁
4211,饲料添加剂,线材,钢铁制品,钢铁
4212,铁托盘,线材,钢铁制品,钢铁
4213,土粉47.25,线材,钢铁制品,钢铁
4214,脱脂槽,线材,钢铁制品,钢铁
4215,脱脂槽设备,线材,钢铁制品,钢铁
4216,永洋钢轨,线材,钢铁制品,钢铁
4217,预埋件,线材,钢铁制品,钢铁
4218,制动器,线材,钢铁制品,钢铁
4219,中石化管道,线材,钢铁制品,钢铁
4220,重轨,线材,钢铁制品,钢铁
4221,140克牛皮纸,线材,钢铁制品,钢铁
4222,143克精品牛皮纸,线材,钢铁制品,钢铁
4223,赖氨酸,线材,钢铁制品,钢铁
4224,64M40T,线材,钢铁制品,钢铁
4225,68克精品牛皮纸,线材,钢铁制品,钢铁
4226,75克高强度纸袋纸,线材,钢铁制品,钢铁
4227,78克精品牛皮纸,线材,钢铁制品,钢铁
4228,背门内板,线材,钢铁制品,钢铁
4229,巴块30.79,线材,钢铁制品,钢铁
4230,巴西精粉,铁矿,铁矿石,金属矿石
4231,丙二醇,线材,钢铁制品,钢铁
4232,彩钢卷,线材,钢铁制品,钢铁
4233,成品车,线材,钢铁制品,钢铁
4234,厨房用品,线材,钢铁制品,钢铁
4235,粗锌,线材,钢铁制品,钢铁
4236,德晟PB块矿,线材,钢铁制品,钢铁
4237,冻货,线材,钢铁制品,钢铁
4238,吨块,线材,钢铁制品,钢铁
4239,多孔码,线材,钢铁制品,钢铁
4240,发动机配件,线材,钢铁制品,钢铁
4241,钢球,线材,钢铁制品,钢铁
4242,钢围檩,线材,钢铁制品,钢铁
4243,钢支撑钢围檩,线材,钢铁制品,钢铁
4244,格力模具,线材,钢铁制品,钢铁
4245,工字钢角钢,线材,钢铁制品,钢铁
4246,光缆终端盒,线材,钢铁制品,钢铁
4247,硅铁33,线材,钢铁制品,钢铁
4248,硅铁34,线材,钢铁制品,钢铁
4249,架子扣,线材,钢铁制品,钢铁
4250,江油洗小块,线材,钢铁制品,钢铁
4251,接头盒,线材,钢铁制品,钢铁
4252,金鸡滩,线材,钢铁制品,钢铁
4253,聚丙烯颗粒,线材,钢铁制品,钢铁
4254,铝管,线材,钢铁制品,钢铁
4255,铝合金SSH,线材,钢铁制品,钢铁
4256,煤碳,线材,钢铁制品,钢铁
4257,镁锭,线材,钢铁制品,钢铁
4258,面粉小包装头道粉,线材,钢铁制品,钢铁
4259,模具设备,线材,钢铁制品,钢铁
4260,磨具,线材,钢铁制品,钢铁
4261,木板,线材,钢铁制品,钢铁
4262,南非高硫粉41.31,线材,钢铁制品,钢铁
4263,热轧卷板,线材,钢铁制品,钢铁
4264,硅锰合金,线材,钢铁制品,钢铁
4265,砂加气砖,线材,钢铁制品,钢铁
4266,土粉47.58,线材,钢铁制品,钢铁
4267,味素,线材,钢铁制品,钢铁
4268,姚家钢卷,线材,钢铁制品,钢铁
4269,宜家科勒洁具,线材,钢铁制品,钢铁
4270,银金达薄膜,线材,钢铁制品,钢铁
4271,永洋工型钢,线材,钢铁制品,钢铁
4272,运动器材,线材,钢铁制品,钢铁
4273,纸板,线材,钢铁制品,钢铁
4274,指示牌,线材,钢铁制品,钢铁
4275,惠美佳400g味精,其它未列名饮食及调味食品,饮食品,轻工、医药产品
4276,金鼎小札浓香菜籽油5L,动植物食用油料、脂肪及制品,经济作物及制品,农、林、牧、渔业产品
4277,金鼎纯香菜籽油5L,动植物食用油料、脂肪及制品,经济作物及制品,农、林、牧、渔业产品
4278,卷板Q235B,卷材,钢 材、合金钢材,钢铁
4279,盘螺14,线材,钢铁制品,钢铁
4280,线材8,线材,钢铁制品,钢铁
4281,8三级盘螺,线材,钢铁制品,钢铁
4282,盘螺6,线材,钢铁制品,钢铁
4283,硅钢管,管材及附件,钢 材、合金钢材,钢铁
4284,卡槽卡簧,型材,钢 材、合金钢材,钢铁
4285,元冠白砂糖,糖（固体、浆）,饮食品,轻工、医药产品
4286,60克胶版印刷纸,机制纸（新闻纸）,纸及制品(十类),轻工、医药产品
4287,H型钢400x400,型材,钢 材、合金钢材,钢铁
4288,H型钢582x300,型材,钢 材、合金钢材,钢铁
4289,钢支架槽钢钢立柱,钢铁材料、结构体,钢铁制品,钢铁
4290,镀锌方管,管材及附件,钢 材、合金钢材,钢铁
4291,槽钢扁铁,型材,钢 材、合金钢材,钢铁
4292,80克全木浆复印纸,机制纸（新闻纸）,纸及制品(十类),轻工、医药产品
4293,起重行车,道路机动车辆,交通运输设备,机械设备、电器
4294,护栏板方管,管材及附件,钢 材、合金钢材,钢铁
4295,钢塑管,管材及附件,钢 材、合金钢材,钢铁
4296,90克全木浆胶版纸,纸板（原纸）,纸及制品(十类),轻工、医药产品
4297,电器外壳,家用电器,电力设备、电器机械及器材,机械设备、电器
4298,转向架,钢铁件及其它五金制品,钢铁制品,钢铁
4299,办公凳子 20*20*20  7,家具、坐具,日用工业品,轻工、医药产品
4300,办公椅 20*20*20  7,家具、坐具,日用工业品,轻工、医药产品
4301,办公桌 1.4*2M 8,家具、坐具,日用工业品,轻工、医药产品
4302,床 20*20*20  7,家具、坐具,日用工业品,轻工、医药产品
4303,床头 20*20*20  7,家具、坐具,日用工业品,轻工、医药产品
4304,热轧钢板有超宽水运询价,板材,钢 材、合金钢材,钢铁
4305,管坯钢,型材,钢 材、合金钢材,钢铁
4306,热轧钢板船运有超宽板,板材,钢 材、合金钢材,钢铁
4307,热轧线材汽运,线材,钢铁制品,钢铁
4308,纸桨,其它纸及制品,纸及制品(十类),轻工、医药产品
4309,一水糖,糖（固体、浆）,饮食品,轻工、医药产品
4310,无水糖,糖（固体、浆）,饮食品,轻工、医药产品
4311,铁矿粉,铁矿,铁矿石,金属矿石
4312,玻纤纱,纱、线、丝、纤维（非复合材料）,针织、纺织、皮毛及制品,轻工、医药产品
4313,糊精,其它未列名饮食及调味食品,饮食品,轻工、医药产品
4314,网格布,钢铁件及其它五金制品,钢铁制品,钢铁
4315,尼龙,纺织材料包、套等，复合材料纱、线、绳,针织、纺织、皮毛及制品,轻工、医药产品
4316,原料味精25KG,其它未列名饮食及调味食品,饮食品,轻工、医药产品
4317,镀锌产品黑方管,管材及附件,钢 材、合金钢材,钢铁
4318,热轧钢板汽运仔细看备注,板材,钢 材、合金钢材,钢铁
4319,方管管,管材及附件,钢 材、合金钢材,钢铁
4320,拖鞋,鞋帽,针织、纺织、皮毛及制品,轻工、医药产品
4321,金鼎食用调和油,动植物食用油料、脂肪及制品,经济作物及制品,农、林、牧、渔业产品
4322,金鼎纯正菜籽油,动植物食用油料、脂肪及制品,经济作物及制品,农、林、牧、渔业产品
4323,试卷,印刷品,文化体育用品,轻工、医药产品
4324,铝板,精铝及铝材,铝,有色金属
4325,家具,家具、坐具,日用工业品,轻工、医药产品
4326,家居,家具、坐具,日用工业品,轻工、医药产品
4327,镀锌卷,卷材,钢 材、合金钢材,钢铁
4328,黑方管制品,管材及附件,钢 材、合金钢材,钢铁
4329,王老吉饮料,饮料、果菜汁,饮食品,轻工、医药产品
4330,展示柜,钢铁容器,钢铁制品,钢铁
4331,角钢方管,管材及附件,钢 材、合金钢材,钢铁
4332,铸管,钢铁材料、结构体,钢铁制品,钢铁
4333,铁芯,铁合金,生铁、铁合金、非合金钢,钢铁
4334,铁塔件,铁或非合金钢板轧材、卷、角、型材,生铁、铁合金、非合金钢,钢铁
4335,彩钢瓦,板材,钢 材、合金钢材,钢铁
4336,型材,型材,钢 材、合金钢材,钢铁
4337,电梯配件,通用设备,普通工业机械及设备,机械设备、电器
4338,钢管加螺旋管,管材及附件,钢 材、合金钢材,钢铁
4339,焊管加螺旋管,钢铁件及其它五金制品,钢铁制品,钢铁
4340,焊方管,管材及附件,钢 材、合金钢材,钢铁
4341,方管加镀方管,管材及附件,钢 材、合金钢材,钢铁
4342,方距管,管材及附件,钢 材、合金钢材,钢铁
4343,电柜,电工器材,电力设备、电器机械及器材,机械设备、电器
4344,镀锡角钢,型材,钢 材、合金钢材,钢铁
4345,方钜管,管材及附件,钢 材、合金钢材,钢铁
4346,铜,线材,钢铁制品,钢铁
4347,氨纶,皮毛制品,针织、纺织、皮毛及制品,轻工、医药产品
4348,人棉纱,布匹（机织、绒织、网织物、纱罗）,针织、纺织、皮毛及制品,轻工、医药产品
4349,人造丝,布匹（机织、绒织、网织物、纱罗）,针织、纺织、皮毛及制品,轻工、医药产品
4350,绣花线,纱、线、丝、纤维（非复合材料）,针织、纺织、皮毛及制品,轻工、医药产品
4351,缝纫线,纱、线、丝、纤维（非复合材料）,针织、纺织、皮毛及制品,轻工、医药产品
4352,调味品,其它未列名饮食及调味食品,饮食品,轻工、医药产品
4353,78克薄本纸,其它纸及制品,纸及制品(十类),轻工、医药产品
4354,电器,家用电器,电力设备、电器机械及器材,机械设备、电器
4355,钢丝,钢铁材料、结构体,钢铁制品,钢铁
4356,无纺布,其它未列名针织、纺织、皮革及制品,针织、纺织、皮毛及制品,轻工、医药产品
4357,铸件,铸、锻钢材,钢 材、合金钢材,钢铁
4358,布,线材,钢铁制品,钢铁
4359,辅料,其它未列名针织、纺织、皮革及制品,针织、纺织、皮毛及制品,轻工、医药产品
4360,铁件,铁或非合金钢板轧材、卷、角、型材,生铁、铁合金、非合金钢,钢铁
4361,热轧钢板汽运,板材,钢 材、合金钢材,钢铁
4362,凌雪白砂糖,糖（固体、浆）,饮食品,轻工、医药产品
